group.1,RR1,RR4,RR5,RR6,RR7,RR8,RR9,RR10,RR11,RR23,RR24,RR25,RR26,RR27,RR28,RR29,RR30,RR31,RR32,RR33,RR53,RR54,RR55,RR56,RR57,RR58,RR59,RR60,RR61,RR62
Coccolithophore,70796.46017699114,0.0,141592.92035398228,1204040.4040404041,1206611.5702479337,0.0,42553.1914893617,100840.33613445377,15180.265654648958,377880.18433179724,55299.53917050691,46082.949308755764,2396313.3640553,0.0,2594249.2012779554,191693.2907348243,1436532.507739938,0.0,0.0,29411.764705882357,10000.0,40851.06382631055,0.0,0.0,32133.891211237897,14996.09476761244,179953.13721134927,37490.236919031086,14204.685574487175,352408.2270388923
Diatom,63716.81415929203,297345.1327433628,1408849.557522124,646464.6464646464,380165.28925619845,332622.6012793177,1021276.5957446806,596638.6554621848,1639468.6907020875,746543.7788018433,479262.67281106,2525345.6221198156,7714285.714285714,7373271.889400922,1073482.428115016,383386.5814696486,1981424.1486068112,1150326.797385621,2614285.7142857146,1460784.3137254901,310000.0,234893.61700128566,0.0,259549.39344300027,602510.4602107105,1379640.7186203445,569851.6011692726,734808.6436130095,4027028.3603671147,9889924.499240404
Dinoflagellate,269026.54867256636,672566.3716814159,63716.814159292044,56565.65656565657,16528.92561983471,0.0,17021.27659574468,0.0,0.0,55299.53917050691,0.0,9216.589861751152,0.0,0.0,25559.1054313099,63897.76357827477,0.0,0.0,28571.428571428572,0.0,0.0,0.0,0.0,19965.337957153868,0.0,22494.14215141866,0.0,0.0,0.0,0.0
Foraminifera,21238.938053097343,0.0,0.0,24242.424242424237,0.0,0.0,0.0,0.0,0.0,27649.769585253456,0.0,27649.769585253456,0.0,18433.179723502304,0.0,217252.39616613422,12383.900928792571,0.0,71428.57142857142,0.0,0.0,10212.765956577638,0.0,0.0,0.0,0.0,7498.04738380622,0.0,0.0,7498.04738380622
Phaeodaria,15.66293367,407.23627530999994,595.19147935,0.0,18.28420976,18.86899258,37.65769158,74.36602959999999,218.30028043,61.1720566,183.5161698,448.59508173,448.5950818,203.90685534,0.0,0.0,82.19403271,28.92012262,158.0278129,130.1405518,110.61946903,22.59461495,21.34566639,0.0,17.77316992,49.76580122,282.00620692,215.65180529,2074.1355039600003,564.0124138200001
Polycystina,125.30346933980734,250.60693867961467,109.64053567233141,53.63368195226602,73.13683902581731,56.60697775345773,56.48653737525889,297.4641183907192,33.584658527984416,122.34411320908609,0.0,122.34411320908609,407.81371069695365,40.78137106969536,0.0,0.0,27.39801090440834,28.92012262131991,63.21112515802782,65.0702758979698,1106.1946902654868,429.2976840154317,619.0243252154221,265.02661005071496,426.5560780252818,812.8414199258954,829.4300203325464,796.2528195192447,659.9522058943155,199.06320487981117
Radiolarian,70796.46017699114,21238.938053097343,99115.04424778759,185858.58585858587,41322.314049586785,93816.63113006396,76595.74468085106,33613.445378151264,15180.265654648958,129032.25806451612,101382.48847926268,175115.2073732719,129032.25806451612,92165.89861751153,191693.29073482432,140575.07987220446,383900.92879256967,196078.43137254904,171428.57142857142,49019.607843137244,50000.0,91914.89360919874,9648.241206805891,19965.337957153868,0.0,119968.7581408995,82478.5212218684,97474.61598948085,85228.11344692306,112470.71075709329
Silicoflagellate,0.0,14159.292035398232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18433.179723502304,9216.589861751152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7102.342787243588,14996.09476761244
Tintinnid,14159.292035398232,14159.292035398232,14159.292035398232,0.0,0.0,0.0,0.0,0.0,0.0,18433.179723502304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9803.921568627453,10000.0,0.0,0.0,9982.668978576934,0.0,0.0,0.0,0.0,0.0,0.0
All_Acanth,63716.814159292044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14996.09476761244,7498.04738380622,0.0,0.0,0.0
Other_diatoms,63732.4770929595,7079.646017699115,84955.75221238937,202020.202020202,18.284209756454327,25586.3539445629,42572.02033515345,33613.445378151264,15180.265654648958,211981.5668202765,92165.89861751153,147465.43778801843,193548.38709677418,470046.08294930874,166134.1853035144,204472.84345047924,247678.0185758514,91503.26797385619,142920.3539823009,362745.0980392157,40000.0,71489.36169604347,0.0,9982.668978576934,120502.09204214212,97474.61598948085,104972.66337328705,7514.63598421287,99432.79902141023,37490.2369190311
Sm_abund_diatoms,0.0,290265.4867256637,1323893.8053097345,444444.4444444444,380165.28925619845,307036.2473347548,978723.4042553189,563025.2100840335,1624288.4250474386,534562.2119815669,387096.7741935484,2377880.184331797,7520737.32718894,6903225.806451613,907348.2428115016,178913.73801916934,1733746.1300309598,1058823.5294117648,2471428.571428572,1098039.2156862745,270000.0,163404.2553052422,0.0,249566.72446442334,482008.3681685685,1282166.1026308634,464878.9377959856,727310.5962292033,3927595.561345704,9852434.262321372
Lg_diatoms,23760.670373560966,13109.875479677345,55055.21184117785,42120.318226512914,2870.6209317633293,26114.685736928506,6100.546036527961,44526.66022161077,14474.987825561286,28832.42934627462,10419.640308307165,29158.680314832185,33828.14730231231,18025.366012805353,1102.6605219259804,1385.3939890864885,1917.8607633085842,2949.8525073746314,7774.968394437423,28804.44213083464,2367.2566371681414,768.216908238141,1302.0856495910602,993.8497876901814,21096.75269233373,646.9554158593861,30622.556350677616,11280.24827652263,4713.944327816541,6104.604949647541
All_rad,70921.76364633095,21489.54499177696,99224.68478345992,185912.21954053812,41395.4508886126,93873.23810781742,76652.23121822631,33910.909496541986,15213.850313176943,129154.6021777252,101382.48847926268,175237.55148648098,129440.07177521307,92206.67998858122,191693.29073482432,140575.07987220446,383928.3268034741,196107.35149517035,171491.78255372946,49084.67811903521,51106.19469026549,92344.19129321417,10267.265532021313,20230.364567204582,426.5560780252818,120781.5995608254,83307.95124220094,98270.8688090001,85888.06565281737,112669.7739619731
Spumellaria,125.30346933980734,14347.247239407941,21332.9156551022,185912.21954053812,41395.4508886126,76815.66881144216,51120.316324609295,17104.18680746635,33.584658527984416,110721.4224542229,82949.30875576037,101504.83259247176,64903.552057420166,40.78137106969536,178913.73801916937,127795.5271565495,371544.42587468156,143819.76979582393,157206.06826801514,49084.67811903521,31106.194690265485,92344.19129321417,619.0243252154221,265.02661005071496,426.5560780252818,105785.50479321297,45817.71432316985,30788.442354744122,57462.981356083634,75179.537042942
Nasselaria,70796.46017699114,7142.297752369019,77891.76912835773,0.0,0.0,17057.569296375266,25531.914893617017,16806.722689075632,15180.265654648958,18433.179723502304,18433.179723502304,73732.71889400922,64536.519717792915,92165.89861751153,12779.55271565495,12779.55271565495,12383.900928792571,52287.581699346396,14285.714285714286,0.0,20000.0,0.0,9648.241206805891,19965.337957153868,0.0,14996.09476761244,37490.2369190311,67482.42645425598,28425.08429673374,37490.2369190311
